Fecha,Vacunas
2021-09-21,1964219.0
2021-09-22,1971985.0
2021-09-23,1974910.0
2021-09-24,1978162.0
2021-09-25,1978253.0
2021-09-26,1978253.0
2021-09-27,1980600.0
2021-09-28,1980600.0
2021-09-29,1987883
2021-09-30,1991674
2021-10-01,1991674
2021-10-02,1991674
2021-10-03,1993544
2021-10-04,1994236
2021-10-05,1995994
2021-10-06,1998608
2021-10-07,2001045
2021-10-08,2001045
2021-10-09,2001045
2021-10-10,2002177
2021-10-11,2002177
2021-10-12,2002287
2021-10-13,2004145
2021-10-14,2006799
2021-10-15,2006799
2021-10-16,2006799
2021-10-17,2007553
2021-10-18,2007886
2021-10-19,2008344
2021-10-20,2010275
